recording,target_freq_hz,model_freq_hz,best_score,psprate,kHAP,halflifeHAP,kAHP,halflifeAHP,runtime_s,plot_path
MAL11E,5.873899775444512,5.621728681569586,0.21564862843683114,400.0,50.0,8.0,0.15,300.0,1200.0,analysis\baseline_fit\mal11e_baseline_compare.png
CBA1R8C1,4.363178974948109,4.862250143632772,0.17723794562188008,340.0,50.0,8.0,0.0,500.0,1200.0,analysis\baseline_fit\cba1r8c1_baseline_compare.png
